title,language,financial,fname,lname,mname,DOB,street,postal_code,city,state,country_code,drivers_license,ss,occupation,phone_home,phone_biz,phone_contact,phone_cell,pharmacy_id,status,contact_relationship,date,sex,referrer,referrerID,providerID,ref_providerID,email,email_direct,ethnoracial,race,ethnicity,religion,interpretter,migrantseasonal,family_size,monthly_income,billing_note,homeless,financial_review,pubpid,pid,hipaa_mail,hipaa_voice,hipaa_notice,hipaa_message,hipaa_allowsms,hipaa_allowemail
,,,Mallory,Nunn,,2018-08-10,4669 Oxboro Lane,46211,Indianapolis,IN,US,N445-689-18-898,633906959,Finisher Tile,(812)667-7788,(574)415-6297,(765)277-1259,(574)913-5574,1,,,2018-04-15,Female,,,0,0,Mallory@velquis.eu,,,,,,,,8,,,,2011-07-11,,5159965485,yes,yes,yes,yes,no,no
Mr.,,,Ernie,Alonzo,,2003-05-06,5198 Hidden Drive,97124,Hillsboro,OR,US,A105-759-3-941,907263800,Periodontist,(541)539-2418,(971)686-6522,(503)995-8654,(541)804-7309,1,,,2019-07-24,Male,,,0,0,E.Alonzo@loremvolutpat.eu,,,,,,,,8,,,,2020-11-07,,9831965165,yes,yes,yes,yes,no,yes
,,,Lessie,Reitz,,1978-06-16,7219 Grove Brook Cove,46896,Fort Wayne,IN,US,R51-849-78-363,159154595,LAN/WAN Analyst,(765)452-4639,(219)236-4569,(317)876-8039,(219)290-7389,1,,,2014-01-10,Female,,,0,0,Lessie@teexerci.eu,,,,,,,,5,,,,2012-10-24,,6262217139,yes,yes,yes,no,no,no
,,,Stevie,Stamps,,1996-06-05,3232 Anderson Way,73547,Granite,OK,US,S567-423-96-594,633821741,General Practitioner,(918)357-2396,(918)796-8617,(918)828-1378,(580)283-9592,1,,,2013-10-02,Male,,,0,0,Stevie.Stamps@laoreetin.edu,,,,,,,,5,,,,2012-01-16,,6394683087,yes,yes,yes,yes,no,no
,,,Tomas,Welsh,,1931-04-21,4829 Foster Ridge Lane,99128,Farmington,WA,US,W122-694-31-262,907926923,Clerk Installment Loan,(206)998-8693,(253)155-3345,(206)946-8234,(509)839-6934,1,,,2020-09-30,Male,,,0,0,T.Welsh@dolorat.org,,,,,,,,7,,,,2014-03-21,,2750314043,yes,no,yes,yes,no,yes
Mrs.,,,Marianne,Randall,,1932-06-14,966 Greenmeadow Drive,31027,Dublin,GA,US,R334-672-32-918,337227348,Representative Training,(678)688-7268,(770)543-6751,(478)540-5861,(912)415-3634,1,,,2019-08-11,Female,,,0,0,Marianne@lobortisduis.org,,,,,,,,7,,,,2012-03-03,,3867193103,no,no,yes,yes,yes,no
,,,Sung,Farmer,,1982-03-08,3502 Pridalea Street,17516,Conestoga,PA,US,F777-685-82-592,456075599,Real Estate Sales Agent,(445)182-9255,(724)884-5323,(835)312-2990,(215)939-2376,1,,,2016-11-15,Male,,,0,0,S.Farmer@eumeum.tv,,,,,,,,6,,,,2016-11-09,,3342839861,yes,yes,yes,yes,no,yes
Mr.,,,Ward,Bernard,Kareem,1935-08-08,9430 Johnson Lane,70898,Baton Rouge,LA,US,B321-285-35-482,124939492,Buyer Assistant,(504)172-4356,(318)638-8110,(225)119-1222,(318)864-1565,1,,,2013-03-29,Male,,,0,0,Ward@loremet.org,,,,,,,,7,,,,2011-02-18,,9541416685,yes,yes,yes,yes,no,yes
,,,Katheryn,Bellamy,,1996-04-26,6106 Quail Lane,72561,Mount Pleasant,AR,US,B747-135-96-294,478176593,Home Health Aide Coordinator,(479)271-1474,(501)220-8901,(479)779-5787,(870)841-9791,1,,,2013-09-13,Female,,,0,0,Katheryn@tationdolore.org,,,,,,,,7,,,,2019-06-18,,4330643185,yes,no,yes,yes,no,yes
Mr.,,,Alan,Bock,,1952-09-17,7034 Paradise Street,89132,Las Vegas,NV,US,B995-506-52-673,889187510,Deaf Interpreter,(702)885-3801,(702)232-2735,(775)987-9821,(702)811-1563,1,,,2012-11-03,Male,,,0,0,Alan@consequatiriure.tv,,,,,,,,8,,,,2019-07-05,,5220844679,yes,yes,yes,yes,no,yes
